ID	,小区名称	,楼栋	,单元	,房屋	,建筑面积	,使用面积	,附加面积	,账单开始日期	,账单结束日期	,合计	,
1	, testregion	, B-01	, 1单元	, 101室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
2	, testregion	, B-01	, 1单元	, 102室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
3	, testregion	, B-01	, 2单元	, 103室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
4	, testregion	, B-01	, 2单元	, 104室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
5	, testregion	, B-01	, 3单元	, 105室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
6	, testregion	, B-01	, 3单元	, 106室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
7	, testregion	, B-02	, 1单元	, 101室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
8	, testregion	, B-02	, 1单元	, 102室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
9	, testregion	, B-02	, 2单元	, 103室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
10	, testregion	, B-02	, 2单元	, 104室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
11	, testregion	, B-02	, 3单元	, 105室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
12	, testregion	, B-02	, 3单元	, 106室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
13	, testregion	, B-03	, 1单元	, 101室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
14	, testregion	, B-03	, 1单元	, 102室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
15	, testregion	, B-03	, 2单元	, 103室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
16	, testregion	, B-03	, 2单元	, 104室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
17	, testregion	, B-03	, 3单元	, 105室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
18	, testregion	, B-03	, 3单元	, 106室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
19	, testregion	, B-04	, 1单元	, 101室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
20	, testregion	, B-04	, 1单元	, 102室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
21	, testregion	, B-04	, 2单元	, 103室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
22	, testregion	, B-04	, 2单元	, 104室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
23	, testregion	, B-04	, 3单元	, 105室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
24	, testregion	, B-04	, 3单元	, 106室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
25	, testregion	, B-05	, 1单元	, 101室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
26	, testregion	, B-05	, 1单元	, 102室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
27	, testregion	, B-05	, 2单元	, 103室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
28	, testregion	, B-05	, 2单元	, 104室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
29	, testregion	, B-05	, 3单元	, 105室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
30	, testregion	, B-05	, 3单元	, 106室	, 0.00	, 0.00	, 0.00	, 	, 	, 	, 
